id,api_entity_with_single_des_id,qualified_name,single_description,final_annotation_type,core_verb
1,28100,"javax.swing.plaf.synth.SynthStyleFactory.getStyle(javax.swing.JComponent,javax.swing.plaf.synth.Region)",Returns the style for the specified Component.,54,return
2,26391,javax.swing.plaf.basic.BasicGraphicsUtils.getEtchedInsets(),Returns the amount of space taken up by a border drawn by drawEtchedRect(),54,return
3,42496,android.icu.util.ULocale.getDisplayCountry(),Returns this locale's country localized for display in the default DISPLAY locale.,54,return
4,5096,java.awt.geom.Arc2D.Double.getAngleExtent(),Returns the angular extent of the arc.,54,return
5,55908,android.widget.TableLayout.isColumnShrinkable(int),Returns whether the specified column is shrinkable or not.,54,return
6,24203,javax.swing.JLayeredPane.lowestLayer(),Returns the lowest layer value from all current children.,54,return
7,10939,java.security.cert.PolicyNode.getValidPolicy(),Returns the valid policy represented by this node.,54,return
8,42549,android.icu.util.ULocale.getName(java.lang.String),[icu] Returns the (normalized) full name for the specified locale.,54,\N
9,23956,javax.swing.JFileChooser.paramString(),Returns a string representation of this JFileChooser.,54,return
10,51808,android.view.MotionEvent.actionToString(int),"Returns a string that represents the symbolic name of the specified unmasked action such as \ACTION_DOWN\""",54,return
11,47801,android.renderscript.ScriptIntrinsicConvolve5x5.setCoefficients(float[]),Set the coefficients for the convolve.,77,set
12,45462,android.net.wifi.hotspot2.pps.Credential.UserCredential.setEapType(int),Set the EAP (Extensible Authentication Protocol) method type associated with this user credential.,77,set
13,52465,android.view.View.setScrollY(int),Set the vertical scrolled position of your view.,77,set
14,41702,android.icu.text.NumberFormat.setRoundingMode(int),Set the rounding mode used in this NumberFormat.,77,set
15,33726,"org.xml.sax.helpers.ParserAdapter.setFeature(java.lang.String,boolean)",Set a feature flag for the parser.,77,set
16,3049,java.awt.Component.isFontSet(),Returns whether the font has been explicitly set for this Component.,54,return
17,55804,android.widget.Spinner.setDropDownWidth(int),Set the width of the spinner's popup window of choices in pixels.,77,set
18,35839,"android.app.WallpaperManager.setWallpaperOffsets(android.os.IBinder,float,float)","Set the display position of the current wallpaper within any larger space, when that wallpaper is visible behind the given window.",77,set
19,55020,android.widget.GridView.setColumnWidth(int),Set the width of columns in the grid.,77,set
20,40068,android.graphics.drawable.LayerDrawable.setAutoMirrored(boolean),Set whether this Drawable is automatically mirrored when its layout direction is RTL (right-to left).,77,set
21,9593,java.nio.DoubleBuffer.get(),Relative get method.,53,\N
22,17002,java.util.logging.Logger.getName(),Get the name for this logger.,54,get
23,36067,android.app.admin.SystemUpdatePolicy.getInstallWindowEnd(),Get the end of the maintenance window.,54,get
24,31413,javax.xml.transform.Transformer.getURIResolver(),Get an object that will be used to resolve URIs used in document().,54,get
25,51151,android.util.SizeF.getHeight(),Get the height of the size (as an arbitrary unit).,54,get
26,29654,javax.swing.text.html.parser.Element.getIndex(),Get index.,54,get
27,45696,android.nfc.tech.Ndef.get(android.nfc.Tag),Get an instance of Ndef for the given tag.,54,get
28,31175,javax.xml.stream.XMLStreamWriter.getProperty(java.lang.String),Get the value of a feature/property from the underlying implementation,54,get
29,44325,android.media.session.MediaController.PlaybackInfo.getPlaybackType(),Get the type of playback which affects volume handling.,54,get
30,36342,android.app.usage.UsageStats.getTotalTimeInForeground(),"Get the total time this package spent in the foreground, measured in milliseconds.",54,get
31,54387,android.widget.AbsListView.requestLayout(),Call this when something has changed which has invalidated the layout of this view.,33,\N
32,44513,android.media.tv.TvInputService.HardwareSession.onHardwareVideoAvailable(),Called when the underlying hardware TV input session calls notifyVideoAvailable().,11,\N
33,50344,android.text.method.MetaKeyKeyListener.adjustMetaAfterKeypress(long),Call this method after you handle a keypress so that the meta state will be reset to unshifted (if it is not still down) or primed to be reset to unshifted (once it is released).,11,reset
34,21528,"javax.rmi.CORBA.PortableRemoteObjectDelegate.narrow(java.lang.Object,java.lang.Class)","Delegation call for PortableRemoteObject.narrow(java.lang.Object, java.lang.Class).",11,\N
35,52344,android.view.View.requestFocus(),Call this to try to give focus to a specific view or to one of its descendants.,11,\N
36,48454,android.speech.RecognitionService.Callback.beginningOfSpeech(),The service should call this method when the user has started to speak.,11,\N
37,55557,"android.widget.RemoteViews.setFloat(int,java.lang.String,float)",Call a method taking one float on a view in the layout for this RemoteViews.,11,\N
38,48475,android.speech.tts.SynthesisCallback.error(),The service should call this method if the speech synthesis fails.,11,\N
39,48473,android.speech.tts.SynthesisCallback.done(),"The service should call this method when all the synthesized audio for a request has been passed to audioAvailable(byte[], int, int).",11,call
40,21557,"javax.rmi.CORBA.UtilDelegate.writeRemoteObject(org.omg.CORBA.portable.OutputStream,java.lang.Object)","Delegation call for Util.writeRemoteObject(org.omg.CORBA.portable.OutputStream, java.lang.Object).",11,\N
41,48747,android.telecom.CallScreeningService.onUnbind(android.content.Intent),Called when all clients have disconnected from a particular interface published by the service.,9,call
42,8281,"java.lang.ThreadGroup.uncaughtException(java.lang.Thread,java.lang.Throwable)","Called by the Java Virtual Machine when a thread in this thread group stops because of an uncaught exception, and the thread does not have a specific Thread.UncaughtExceptionHandler installed.",11,call
43,57977,"java.util.concurrent.ConcurrentMap.replaceAll(java.util.function.BiFunction<? super,? super,? extends V>)",Replaces each entry's value with the result of invoking the given function on that entry until all entries have been processed or the function throws an exception.,73,replace
44,53660,android.view.inputmethod.InputConnectionWrapper.finishComposingText(),Have the text editor finish whatever composing text is currently active.,85,\N
45,6569,java.beans.VetoableChangeSupport.fireVetoableChange(java.beans.PropertyChangeEvent),Fires a property change event to listeners that have been registered to track updates of all properties or a property with the specified name.,33,\N
46,6534,java.beans.PropertyEditorSupport.firePropertyChange(),Report that we have been modified to any interested listeners.,66,report
47,25974,javax.swing.event.ListDataListener.intervalRemoved(javax.swing.event.ListDataEvent),"Sent after the indices in the index0,index1 interval have been removed from the data model.",21,\N
48,51409,"android.view.SurfaceHolder.Callback.surfaceChanged(android.view.SurfaceHolder,int,int,int)",This is called immediately after any structural changes (format or size) have been made to the surface.,11,call
49,29777,javax.swing.tree.DefaultMutableTreeNode.getAllowsChildren(),Returns true if this node is allowed to have children.,54,return
50,4764,java.awt.event.MouseAdapter.mouseMoved(java.awt.event.MouseEvent),Invoked when the mouse cursor has been moved onto a component but no buttons have been pushed.,9,\N
51,10439,java.rmi.server.RMIServerSocketFactory.createServerSocket(int),Create a server socket on the specified port (port 0 indicates an anonymous port).,54,create
52,34102,android.animation.PropertyValuesHolder.clone(),Creates and returns a copy of this object.,15,create
53,9751,java.nio.channels.AsynchronousChannelGroup.withThreadPool(java.util.concurrent.ExecutorService),Creates an asynchronous channel group with a given thread pool.,54,create
54,56839,java.lang.invoke.MethodType.appendParameterTypes(java.lang.Class<?>),Finds or creates a method type with additional parameter types.,62,find
55,7935,java.lang.SecurityManager.getSecurityContext(),Creates an object that encapsulates the current execution environment.,54,create
56,28159,javax.swing.plaf.synth.SynthToolBarUI.createUI(javax.swing.JComponent),Creates a new UI object for the given component.,15,create
57,22349,javax.sql.PooledConnection.getConnection(),Creates and returns a Connection object that is a handle for the physical connection that this PooledConnection object represents.,54,create
58,47611,android.renderscript.ScriptGroup.Builder.create(),Creates the Script group.,54,create
59,55673,android.widget.ScrollView.onSaveInstanceState(),Hook allowing a view to generate a representation of its internal state that can later be used to create a new instance with that same state.,53,\N
60,37051,android.content.ContentProviderOperation.newUpdate(android.net.Uri),Create a ContentProviderOperation.Builder suitable for building an update ContentProviderOperation.,54,create
61,51866,android.view.MotionEvent.getToolMinor(int),Returns the length of the minor axis of an ellipse that describes the size of the approaching tool for the given pointer index (use getPointerId(int) to find the pointer identifier for this index).,54,return
62,56330,android.widget.Toolbar.setNavigationIcon(int),Set the icon to use for the toolbar's navigation button.,77,set
63,23766,javax.swing.JComponent.isDoubleBuffered(),Returns whether this component should use a buffer to paint.,54,return
64,41568,android.icu.text.MessageFormat.setFormats(java.text.Format),Sets the Format objects to use for the format elements in the previously set pattern string.,79,set
65,39215,android.graphics.ImageFormat.getBitsPerPixel(int),Use this function to retrieve the number of bits per pixel of an ImageFormat.,64,retrieve
66,40481,android.hardware.SensorManager.getDefaultSensor(int),Use this method to get the default sensor for a given type.,54,get
67,40141,android.graphics.drawable.RippleDrawable.invalidateSelf(),Use the current Drawable.Callback implementation to have this Drawable redrawn.,53,\N
68,49827,android.test.mock.MockPackageManager.getApplicationLabel(android.content.pm.ApplicationInfo),Return the label to use for this application.,54,return
69,51863,android.view.MotionEvent.getToolMajor(int),Returns the length of the major axis of an ellipse that describes the size of the approaching tool for the given pointer index (use getPointerId(int) to find the pointer identifier for this index).,54,return
70,29324,javax.swing.text.View.getAttributes(),Fetches the attributes to use when rendering.,54,fetch
71,37439,"android.content.Intent.putExtra(java.lang.String,int)",Add extended data to the intent.,61,add
72,36639,android.bluetooth.le.AdvertiseData.Builder.addServiceUuid(android.os.ParcelUuid),Add a service UUID to advertise data.,61,add
73,52602,android.view.ViewGroup.addTouchables(java.util.ArrayList<android.view.View>),Add any touchable views that are descendants of this view (possibly including this view if it is touchable itself) to views.,61,add
74,50728,"android.transition.Transition.excludeTarget(android.view.View,boolean)",Whether to add the given target to the list of targets to exclude from this transition.,53,\N
75,37679,"android.content.UriMatcher.addURI(java.lang.String,java.lang.String,int)","Add a URI to match, and the code to return when this URI is matched.",61,add
76,30782,javax.xml.datatype.XMLGregorianCalendar.add(javax.xml.datatype.Duration),Add duration to this instance.,61,add
77,39425,"android.graphics.Path.addRect(float,float,float,float,android.graphics.Path.Direction)",Add a closed rectangle contour to the path,61,add
78,6501,java.beans.PropertyChangeSupport.addPropertyChangeListener(java.beans.PropertyChangeListener),Add a PropertyChangeListener to the listener list.,61,add
79,37373,android.content.Intent.addFlags(int),Add additional flags to the intent (or with existing flags value).,61,add
80,35343,android.app.Notification.Builder.setLargeIcon(android.graphics.Bitmap),Add a large icon to the notification content view.,61,add
81,14117,java.util.NavigableSet.pollLast(),"Retrieves and removes the last (highest) element, or returns null if this set is empty.",29,remove
82,28316,javax.swing.table.DefaultTableModel.removeRow(int),Removes the row at row from the model.,29,remove
83,51322,android.view.Menu.removeGroup(int),Remove all items in the given group.,29,remove
84,45890,android.os.BaseBundle.clear(),Removes all elements from the mapping of this Bundle.,29,remove
85,14001,java.util.Deque.remove(),"Retrieves and removes the head of the queue represented by this deque (in other words, the first element of this deque).",29,remove
86,14207,java.util.AbstractCollection.remove(java.lang.Object),"Removes a single instance of the specified element from this collection, if it is present (optional operation).",29,remove
87,14301,java.util.ArrayDeque.removeLastOccurrence(java.lang.Object),Removes the last occurrence of the specified element in this deque (when traversing the deque from head to tail).,29,remove
88,42667,android.inputmethodservice.InputMethodService.onDestroy(),Called by the system to notify a Service that it is no longer used and is being removed.,69,call
89,35891,"android.app.admin.DevicePolicyManager.clearPackagePersistentPreferredActivities(android.content.ComponentName,java.lang.String)","Called by a profile owner or device owner to remove all persistent intent handler preferences associated with the given package that were set by addPersistentPreferredActivity(ComponentName, IntentFilter, ComponentName).",9,\N
90,15452,java.util.Vector.remove(int),Removes the element at the specified position in this Vector.,29,remove
91,27544,"javax.swing.plaf.multi.MultiTextUI.paint(java.awt.Graphics,javax.swing.JComponent)",Invokes the paint method on each UI handled by this object.,33,\N
92,28328,javax.swing.table.JTableHeader.columnMarginChanged(javax.swing.event.ChangeEvent),Invoked when a column is moved due to a margin change.,9,invoke
93,47815,"android.renderscript.ScriptIntrinsicLUT.forEach(android.renderscript.Allocation,android.renderscript.Allocation,android.renderscript.Script.LaunchOptions)",Invoke the kernel and apply the lookup to each cell of ain and copy to aout.,9,apply
94,27330,javax.swing.plaf.multi.MultiMenuBarUI.installUI(javax.swing.JComponent),Invokes the installUI method on each UI handled by this object.,33,\N
95,27340,javax.swing.plaf.multi.MultiMenuItemUI.getPreferredSize(javax.swing.JComponent),Invokes the getPreferredSize method on each UI handled by this object.,53,\N
96,25981,javax.swing.event.MenuKeyListener.menuKeyReleased(javax.swing.event.MenuKeyEvent),Invoked when a key has been released.,9,invoke
97,4681,java.awt.event.WindowStateListener.windowStateChanged(java.awt.event.WindowEvent),Invoked when window state is changed.,9,invoke
98,9849,java.nio.channels.FileLock.close(),This method invokes the release() method.,9,\N
99,27444,javax.swing.plaf.multi.MultiSeparatorUI.uninstallUI(javax.swing.JComponent),Invokes the uninstallUI method on each UI handled by this object.,33,\N
100,27533,javax.swing.plaf.multi.MultiTextUI.getEditorKit(javax.swing.text.JTextComponent),Invokes the getEditorKit method on each UI handled by this object.,9,\N
101,45688,android.nfc.tech.MifareUltralight.isConnected(),Helper to indicate if I/O operations should be possible.,65,indicate
102,43064,"android.media.MediaPlayer.OnVideoSizeChangedListener.onVideoSizeChanged(android.media.MediaPlayer,int,int)","Called to indicate the video size The video size (width and height) could be 0 if there was no video, no display surface was set, or the value was not determined yet.",9,call
103,36805,android.companion.WifiDeviceFilter.equals(java.lang.Object),"Indicates whether some other object is \equal to\"" this one.""",65,indicate
