functionality category	label verb	verb count	example sentences
cancel/deregister/undo/deny/unset/unschedule/unregister/unbind/uninitialize/unload/deselect/unlock/unblock	cancel	13	"['Cancels the speech recognition.', 'Instructs the WebView to cancel the authentication request.', 'Cancels the current editing session.']"
test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	check	20	"['Tests for equality between the specified object and this timestamp.', 'Test if a document is descendant (child, grandchild, etc) from the given parent.', 'Tests for equality between the specified object and this object.']"
update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	modify	13	"['Update the buffer metadata information.', 'Atomically updates the field of the given object managed by this updater with the results of applying the given function, returning the updated value.', 'Updates the designated column with a java.sql.Ref value.']"
set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	set	17	"['Specifies the class being tested.', ""Sets the focus traversal policy that will manage keyboard traversal of this Container's children, if this Container is a focus cycle root."", 'Sets the capabilities of a conference.']"
create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	create	15	"['Creates a SignatureProperty containing the specified list of XMLStructures, target URI and optional id.', 'Creates a zeroed destination Raster with the correct size and number of bands.', 'Create an SmsMessage from a raw PDU with the specified message format.']"
draw/render/paint/redraw/repaint	draw	5	"['Draw the specified Rect using the specified paint.', 'Draws the panel.', 'Draws as much of the specified image as has already been scaled to fit inside the specified rectangle.']"
handle/process	handle	2	"['Handles the componentHidden event by invoking the componentHidden methods on listener-a and listener-b.', 'Handles the mouseEntered event by invoking the mouseEntered methods on listener-a and listener-b.', 'Handles scrolling in response to a ""home/end"" shortcut press.']"
return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	get	16	"['Extracts the double value from this DynAny.', 'Extract the COLUMN_DOCUMENT_ID from the given URI.', 'Extracts the float value from this DynAny.']"
perform/execute/run/call/invoke/enforce/fire/trigger/indicate/occur	perform	10	"['Trigger the scrollbars to draw.', 'Trigger the scrollbars to draw.', 'Notifies this UI delegate to repaint the specified component.']"
stop/quit/terminate/interrupt/end/crash/intercept/abort/disconnect/shutdown/pause/finalize/freeze/block	stop	14	"['Stops dispatching events using this EventQueue.', 'Stop receiving onAppWidgetChanged calls for your AppWidgets.', 'Stop qemu tracing.']"
parse/resolve/unwrap/analyze/uncompress	parse	5	"['Parses the given ranges to generate a Language Priority List, and then customizes the list using the given map.', 'Parses the given xml string and fires events on the given SAX handler.', 'Parses a PluralFormat pattern string.']"
bind/attach/rebind	bind	3	"['Bind an existing view to the data pointed to by cursor', 'Bind an existing view to the group data pointed to by cursor.', 'Bind the value to an index.']"
open	open	1	"['Brings up an internal dialog panel with a specified icon, where the initial choice is determined by the initialValue parameter and the number of choices is determined by the optionType parameter.', 'Open and return the document in a format matching the specified MIME type filter.', 'Open an asset using ACCESS_STREAMING mode.']"
assert	assert	1	"['Determines if the PhoneAccount supports calls to/from addresses with a specified URI scheme.', 'Asserts that map is not empty.', 'Asserts that a condition is true.']"
query/find/locate/determine/retrieve/visit/look/search/discover/seek	find	10	"['Look up a prefix and get the currently-mapped Namespace URI.', 'Query the given URI, returning a Cursor over the result set with optional support for cancellation.', 'Query the capabilities of a camera device.']"
copy/clone	copy	2	"['Creates and returns a copy of this object.', 'Creates and returns a copy of this object.', 'Creates and returns a copy of this object.']"
make/cause/instruct	make	3	"['Makes the upper 2x2 a rotation matrix of the given angle', 'Make this message like o.', 'Makes the view at most this many pixels wide']"
initialize/reinitialize/prepare/refresh/reset/initiate/reposition	initialize	7	"['Overridden to make clone public.', 'Initialize the Command with the verb it is requested to handle and the DataHandler that describes the data it will operate on.', 'Initializes this cipher with a key and a set of algorithm parameters.']"
format/return	format	2	"[""Return a localized formatted string from the application's package's default string table, substituting the format arguments as defined in Formatter and format(String, Object...)."", 'Formats the specified phoneNumber to the RFC3966 representation.', 'Formats a BigInteger number.']"
send/pass/give/dispatch/post/issue/propagate/forward/broadcast/transmit/emit/notify/signal	send	13	"['Post a notification to be shown in the status bar.', 'Posts the new contents of the Canvas to the surface and releases the Canvas.', 'Higher-level method for sending both the down and up key events for a particular character key code.']"
